,Points,Score,Weigh,,,,
Mazda RX4,2.76,1.513,14.5,,,,
Mazda RX4 Wag,2.76,1.615,14.6,,,,
Datsun 710,2.93,1.835,15.41,,,,
Hornet 4 Drive,3,1.935,15.5,,,,
Hornet Sportabout,3.07,2.14,15.84,,,,
Valiant,3.07,2.2,16.46,,,,
Duster 360,3.07,2.32,16.7,,,,
Merc 240D,3.08,2.465,16.87,,,,
Merc 230,3.08,2.62,16.9,,,,
Merc 280,3.15,2.77,17.02,,,,
Merc 280C,3.15,2.78,17.02,,,,
Merc 450SE,3.21,2.875,17.05,,,,
Merc 450SL,3.23,3.15,17.3,,,,
Merc 450SLC,3.54,3.17,17.4,,,,
Cadillac Fleetwood,3.62,3.19,17.42,,,,
Lincoln Continental,3.69,3.215,17.6,,,,
Chrysler Imperial,3.7,3.435,17.82,,,,
Fiat 128,3.73,3.44,17.98,,,,
Honda Civic,3.77,3.44,18,,,,
Toyota Corolla,3.85,3.44,18.3,,,,
Toyota Corona,3.9,3.46,18.52,,,,
Dodge Challenger,3.9,3.52,18.6,,,,
AMC Javelin,3.92,3.57,18.61,,,,
Camaro Z28,3.92,3.57,18.9,,,,
Pontiac Firebird,3.92,3.73,18.9,,,,
Fiat X1-9,4.08,3.78,19.44,,,,
Porsche 914-2,4.08,3.84,19.47,,,,
Lotus Europa,4.11,3.845,19.9,,,,
Ford Pantera L,4.22,4.07,20,,,,
Ferrari Dino,4.22,5.25,20.01,,,,
Maserati Bora,4.43,5.345,20.22,,,,
Volvo 142E,4.93,5.424,22.9,,,,
,,,,,,,
,,,,,,,
,Point,Score,Weigh,,,,
,,,,,,,
mean,3.60,3.22,17.85,,,,
median,3.70,3.33,17.71,,,,
mode,3.07,3.44,17.02,,,,
varience,0.28,0.93,3.09,,,,
st. dev,0.53,0.96,1.76,, ? 0.93 ,,
range,2.76 - 4.93,1.513 - 5.424,14.5 - 22.9,,,,
,,,,,,,
mean,3.5965625,,,,,,
